fishing_number,previous_companies,blacklisted_in,previous_callsign,name,links,owner_company,mmsi,url,system,imo,previous_flags,previous_names,source,flag,callsign,notes,date,vessel_length,controller_region,class
,,"Greenpeace
Reason for blacklisting: False VMS Report
Source of IUU information: http://www.nation.sc/imprimer.php?art=17325",,Shuenn Man 232,,Ming Maan Marine Co. Ltd,,http://blacklist.greenpeace.org/1/vessel/show/178-shuenn-man-232,,,,,GreenpeaceBlacklist,Seychelles,S7OH,"Shuenn Man 232 had falsely reported its position and had not recorded all its fishing operations in its logbook, as it should have done.The operation was launched and organised under the monitoring, control and surveillance",2009-12-07,49.6,Taiwan,Longliner
,Ocean Lion Shipping SA,"Greenpeace
Reason for blacklisting: Inside Division 58.4.3
Source of IUU information: CCAMLR",,Sibley,,Transglove Investments,,http://blacklist.greenpeace.org/1/vessel/show/122-sibley-sunk,,7930034,Seychelles,Lucky Star,GreenpeaceBlacklist,Panama,,"Current name Sibley, Panama flag.Sibley sunk on 23 March 2009 after departure from MombasaIn the 2006/07 season the following vessels were sighted within the CCAMLR Area by the AustralianCustoms and Fisheries patrol vessel, Oceanic Viking and the Australia research vessel Aurora Australis:Vessel name Flag state CCAMLR Area Bigaro Togo 58.4.3.b - Comet Togo 58.4.3bEast Ocean China 58.4.3.b - Gold Dragon Equatorial Guinea 58.4.3.bNorth Ocean China 58.4.3.b - Perseverance Equatorial Guinea 58.4.3.bRed Lion 22 Equatorial Guinea 58.4.3.b - Rex Togo 58.4.3.bSouth Ocean China 58.4.3.b - Triton Sierra Leone 58.4.3bTropic Equatorial Guinea 58.4.3b - Typhoon Togo 58.4.3.bUlyses North Korea 58.5.1, 58.4.3.b - West Ocean China 58.4.3.b",Sunk ,50.0,,Longline
,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [05-04] amending recommendation [04-06] on bluefin tuna farming requires all fishing vessels that take part in bluefin tuna transfer operations to be properly registered in a special ICCAT record and to have an operational satellite tracking",,Slebech,,Redcastle Shipping Ltd,667262000,http://blacklist.greenpeace.org/1/vessel/show/174-slebech,,7423043,Ireland,Bylgja,GreenpeaceBlacklist,Sierra Leone,9LYB63,"In the afternoon of 17 June 2007 the Rainbow Warrior came across the Slebech, an ex-Irish longliner reflagged to Sierra Leone in 2006 that now belongs to the Cyprus-based company Redcastle Shipping Ltd.This vessel was towing south two tuna cages at that time, some 60 miles south of Malta",2006-06-30,35.9,Cyprus,Longline
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside the Liberia EEZ
Source of IUU information: http://liberiafisheries.net/sites/default/files/pdf/Dong_settle_agreement_by_fv_premier_fv_solvant.pdf",,Solevant,"http://www.lloydslistintelligence.com/ llint/vessels/overview.ht  Vessel details
http://liberiafisheries.net/sites/defa ult/files/pdf/Dong_settle_agreement_by _fv_premier_fv_solvant.pdf  Settlement details for Solevant",Dongwon Industries Company Limited,619002000,http://blacklist.greenpeace.org/1/vessel/show/219-solevant,,8104204,France,Santa Maria,GreenpeaceBlacklist,Cote D'Ivoire,TUN5022,"Liberian government has issued a statement refuting Dongwon Industries' claim that it was the victim of fraud in the case of the F/V Premier, and has revealed that a second Dongwon-operated vessel is under investigation for illegal fishing.This new vessel, the Solevant, which reportedly flagged to the Ivory Coast, is operated by French company Armement CMB et Compagnie but operated by Dongwon Industries, who bought it and changed the name from Santa Maria.The Solevant was tracked fishing inside the Liberian extended economic zone on three separate occasions in 2012, and had later provided a forged fishing license, a source told Undercurrent News.The Liberian government said Dongwon representatives had been to Monrovia to negotiate settlements for both the Solevant and the Premier.In April 2013 a fine of US$ 1 million was agreed between Liberia and Dongwon Industries",2011-11-18,55.43m,"Korea, Republic of",Purse Seiner
,,"Greenpeace
Reason for blacklisting: Unreported catch
Source of IUU information: http://oceans.greenpeace.org/en/documents-reports/mumrinskiy-jan-2007",,Solomboloa,,,273558300.0,http://blacklist.greenpeace.org/1/vessel/show/20-solomboloa,,8725864.0,USSR,Skulte,GreenpeaceBlacklist,Russian Federation,UHIF,In the summer of 2006 the Mumrinskiy was documented to have offloaded minimum 56 tonnes,2004-01-01,53.7,Russian Federation,Trawler
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside Kiribati EEZ
Source of IUU information: http://www.saipantribune.com/newsstory.aspx?newsID=93963&cat;=1",,Sung Hui,,"SUNG HUI OCEAN CO., LTD., YU SUNG LING",424501511,http://blacklist.greenpeace.org/1/vessel/show/187-sung-hui,,,Belize,,GreenpeaceBlacklist,Vanuatu,YJSW4,"On Aug. 24, 2009, the Sung Hui was intercepted and boarded by police officers from the Kiribati Pacific Patrol Boat RKS Teanoai inside the  Kiribati Economic Exclusion Zone. RKS Teanoai had been alerted to the presence of the Sung Hui through the combined regional surveillance effort of the FFA member countries, the United States and France.A preliminary investigation showed that the vessel had been engaged in illegal fishing activity and it was apprehended and taken back to port where it was placed under arrest.On 30 September 2009, the High Court of Kiribati fined Chung Ching Fu and Sung Hui Ocean Company Ltd, master and owner respectively of the Vanuatu-flagged longline fishing vessel, a total of $1 million for fishing in Kiribati waters without a license.",2010-01-25,48.6,Taiwan,Longline
CT7-0069,,"Greenpeace
Reason for blacklisting: Illegal Fishing inside New Zealand EEZ.
Source of IUU information: Technical and Compliance Committee
Fifth Regular Session
1–6 October 2009
Pohnpei, Federated States of Micronesia
SUMMARY REPORT",,Ta Chun No.101,,HUNG WEN YU,441664110,http://blacklist.greenpeace.org/1/vessel/show/191-ta-chun-no101,,,,,GreenpeaceBlacklist,Taiwan,BI2069,"New Zealand presented information on the sighting of the Ta Chun No. 101, a Taiwan-flagged longline vessel, 83 nm within New Zealand’s EEZ. This vessel was engaged in activities that appeared to indicate that fishing had just been conducted. The incident was communicated to Taiwanese authorities and the WCPFC Executive Director, and investigation is ongoing.",2010-08-17,55.75,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Illegal transhipment from non WCPFC registered longliner Minako",,Taiho Maru,,Hayama Senpaku KK,432661000,http://blacklist.greenpeace.org/1/vessel/show/205-taiho-maru,,9459591,,,GreenpeaceBlacklist,Japan,7JDG,"The Taiho Maru, a Japanese-flagged fish carrier vessel was inspected by French Authorities in Papeete, French Polynesia on 12 October 2008. Vessel records indicated that the Taiho Maru transhipped fish from the Lina, an Indonesian-flagged fishing vessel that was not listed on the WCPFC Record of Fishing Vessels and was consequently not authorised to transship in the WCPFC Convention Area.",2008-08-31,98.3,Japan,Reefer
,,"Greenpeace
Reason for blacklisting: Illegal transhipment in the waters of Papua New Guinea
Source of IUU information: http://www.ffa.int/system/files? file=MCS.newsletter.v6.i3.pdf",,Tai Sheng,,Qingdao Haifeng Shipping Co,412321260.0,http://blacklist.greenpeace.org/1/vessel/show/30-tai-sheng,,8310267.0,Panama,Tokuko,GreenpeaceBlacklist,China Mainland,BBRH,"Papua New Guinea Post-Courier, 28 September 2004The captain of a Chinese fishing vessel caught conducting illegal fishing and related activities in PNG waters last year has been slapped with a hefty fine of PGK120,000",1996-01-01,76.0,China Mainland,Reefer
,,"Greenpeace
Reason for blacklisting: Unregulated fishing inside WCPFC region

Illegal inside Cook Islands EEZ
Source of IUU information: http://www.greenpeace.org/international/press/reports/ stolen-pacific-tuna",,Tangaroa,,Albacora SA,,http://blacklist.greenpeace.org/1/vessel/show/12-tangaroa,,9189691.0,Netherlands Antilles,Faro Villano,GreenpeaceBlacklist,Vanuatu,YJVJ6,"On 12 July, 2007, the Faro Villano, a Netherlands Antilles flagged fishing vessel, was observed by a New Zealand patrol plane at about 50 nautical miles from Manihiki Island, well inside the EEZ of the Cook Islands. Despite her location at the time of sighting, the Faro Villano claimed to be on passage from Panama to Iceland. This in itself may be regarded with some suspicion given the fact that the Cook Islands are noton the way between Panama and Iceland.Although not fishing at the time she was observed - she has no licence to fish in the Western Pacific – the Faro Villano can be regarded as being involved in fishing activities either as a pole-and-line vessel or as tender for Fish-Aggregating Devices",2008-01-01,37.5,Spain,Support vessel for Purse Seiners
,,"Greenpeace
Reason for blacklisting: Fishing without license against section 18",,Tawariq 1,,Seas Tawariq Co LLC,,http://blacklist.greenpeace.org/1/vessel/show/217-tawariq-1,,'8619376,,Odine Malagasy,GreenpeaceBlacklist,Oman,A4DH8,"35 Crew members of FV TAWARIQ-1 and the Mombassa based ship agent of the fishing boat appeared before Dar-es-Salaam court of law on 2nd July, 2009  charged with fishing without a license contrary to section 18",2012-03-25,43,Oman,Longliner
CT4-2246,,"Greenpeace
Reason for blacklisting: Illegal fishing within Sierra leone without a license
Source of IUU information: http://www.piersystem.com/go/doc/651/315913/",,Te Hung Fa,,"LEE, WEN-TE",424464988,http://blacklist.greenpeace.org/1/vessel/show/197-te-hung-fa,,,,,GreenpeaceBlacklist,Taiwan,BJ4246,"Engaged in fishing operations by deploying longline gear in the U.S. EEZ surrounding the CNMI without having a valid and applicable permitThe crew of a long-range C-130 aircraft from Coast Guard Air Station Barbers Point in Honolulu documented the alleged violations at a position 34 nautical miles within the U.S. EEZ on August 26. The crew of the 110-foot Coast Guard cutter Washington based at Sector Guam arrived on scene in time to intercept the fishing vessel 17 nautical miles within the U.S. EEZ on August 27.Wen-Te Lee, owner of the boat that operates out of Dunggang, Taiwan, settled the forfeiture complaint filed by the U.S. government for $500,000.The owner paid $200,000 to the U.S. government immediately.Under the consent decree entered by the boat owner and the U.S. government, the remaining $300,000 is to be paid after three years from the date of the signing of the consent decree.At the end of three years, if the National Oceanic and Atmospheric Administration determines that the vessel has successfully met all requirements of the decree and that the boat and the owner demonstrate a genuine inability to pay, NOAA may forgo the amount standing, plus interest. If not, the $300,000 shall be due and owing.",2010-08-17,22.35,Taiwan,Longline
APNN-8383,Agricola la Providencia CA,"Greenpeace
Reason for blacklisting: Apprehended by French Navy in the Marquesas Islands for further investigation of suspected illegal fishing inside French Polynesia's EEZ. 658 tons of fish in the ship's holds 80 tons of which are alleged to have been taken in FP waters.
Source of IUU information: http://www.greenpeace.at/uploads/media/Stolen_Pacific_Tuna_Report_2007.pdf",,Tino,,Interoceanic Marine Inc,,http://blacklist.greenpeace.org/1/vessel/show/104-tino,,9130793,Venezuela,Cape of Good Hope,GreenpeaceBlacklist,Kiribati,YYKE,"Apprehended by French Navy in the Marquesas Islandsfor further investigation of suspected illegal fishing inside French Polynesia's EEZ. 658 tons of fish in the ship's holds 80 tons of which are alleged to have been taken in FP waters. Since February 2007, 11 Latin American and NetherlandsAntilles flagged fishing vessels have been observed, and some arrested for, engaging in illegal, unreported, or unregulated",2009-01-01,107.5,Venezuela,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Illegal fishing in contravention of  WCPFC Conservation and Management Measure – 2004 – 03. 

The TSP sign shows that the vessels is a Phillipines vessel.

The Phillipines is a WCPFC member

According to the FAO IUU definition, Illegal fishing refers to fishing activities:",,TSP Unidentified Pole and Line,,TSP Marine Industry,,http://blacklist.greenpeace.org/1/vessel/show/1-tsp-unidentified-pole-and-line,,,,,GreenpeaceBlacklist,Philippines,,9 May 2008 – unknown nationalityAn unidentified pole and line vessel was documented by Greenpeace and information passed onto the relevant authorities. There were no visible markings anywhere on the vessel as required under international law. All vessels must have their names and international radio call sign,,,Philippines,Pole & Line
BI-2-1-03,,"Greenpeace
Reason for blacklisting: No license for Mocambique EEZ, Failure to provide catch  on board data at entry and departure of Mozambique EEZ
Source of IUU information: Republica de Moçambique
Ministério das Pescas
Direcção Nacional de Fiscalização da Pesca

PRESS RELEASE

Date: 18th March 2012",,Txori Argi,,Compania Internacional de Pesca y Derivados SA,224103000,http://blacklist.greenpeace.org/1/vessel/show/213-txori-argi,,'9286724,,,GreenpeaceBlacklist,Spain,ECEQ,"On the 18th of March 2012, the purse seiner Txori Argi, Spanish flagged, was inspected in Nacala port by the National Directorate of Surveillance. The Minister set an administrative penalty of approximately €1.2 million for illegal fishing in the Mozambique EEZ. Since the start of the 2012 purse seine fishing season, the  vessel, owned by the fishing company INPESCA S.A. was operating in the northern part of the Mozambican Channel. The vessel targets tuna species under the mandate of the Indian Ocean Tuna Commission. Under Mozambican fisheries legislation, fishing vessels are obliged to carry onboard a fishing licence for Mozambique’s waters, to provide detailed data on catch aboard the vessel upon entry and exit of the EEZ. Failure to have the license aboard the vessel prior to fishing and lack of a declaration of fish on board the vessel as it enters Mozambique’s EEZ are considered to be a serious infractions. The Txori Argi did not send the mandatory entry report with catch onboard before entering Mozambique’s waters, nor did it have its fishing license on board the vessel. The vessel was released after Inpesca posted a bankguarantee for the fine",2004-03-31,106.5,Spain,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Illegal fishing
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf",,Ulla,,,,http://blacklist.greenpeace.org/1/vessel/show/151-ulla-broken-up,,8606836.0,Dominica,Lisa,GreenpeaceBlacklist,Georgia,4LLA,"The Ulla was observed by Greenpeace in 2006. Friday, May 12th 2006 - 64 ships fishing for redfish on the Reykjanes Ridge of the North Atlantic immediately adjacent to the Icelandic Exclusive Economic Zone. Eight were pirate vessels on the NEAFC blacklist. In this picture you can see how the trawlers, with the well-known pirate vessel EVA in front, are lined up. The other blacklisted vessels in the area were the Rosita, Isabella, Juanita, Carmen, Dolphin, Pavlovsk and Ulla. Six of these vessels have now been broken up and will never fish again",broken up ,62.2,Russian Federation,Trawler
,,"Greenpeace
Reason for blacklisting: Sighted inside Division 58.5.1 

Apprehended 58.5.2 2006
Source of IUU information: CCAMLR",,Viarsa I,,,770576086.0,http://blacklist.greenpeace.org/1/vessel/show/111-viarsa-i-scrapped,,8001335.0,Belize,Starlet 901,GreenpeaceBlacklist,Uruguay,CXYU,"On August 28 2003 Australian Customs and Fisheries officers from the Australian customs and fisheries patrol boat, Southern Supporter, backed by armed South African enforcement officers boarded the Uruguayan flagged fishing vessel Viarsa 1. The boarding and apprehension ended a record breaking 21-day hot pursuit covering 3,900 nautical miles by Southern Supporter and on-the-water support from South Africa and the UK .The Australian authorities have confirmed that last December 2007 one of the most infamous pirate fishing vessels, the Viarsa 1, was scrapped at a shipyard in Mumbai, India.",scrapped ,53.6,Spain,Longline
,,"Greenpeace
Reason for blacklisting: Unregulated fishing in WCPFC region
Source of IUU information: http://www.greenpeace.org/international/press/reports/ stolen-pacific-tuna",,Vincente F,,Corporacion Pesquera New Caledonia SA,372580000,http://blacklist.greenpeace.org/1/vessel/show/16-vincente-f,,9018880,United States,Victoria F,GreenpeaceBlacklist,Panama,3ECN4,"Sighted fishing by US Coast Guard on 19 July, 2007 about 250 miles ENE of Kirimati, Kiribati. Not on the Forum Fisheries Agency registry of vessels of good standing and not on WCPFC white list.",2007-01-01,76.4,,Purse Seiner
CT4-2655,,"Greenpeace
Reason for blacklisting: The vessel was arrested by Fiji authorities for Illegal fishing 

inside the Fiji EEZ on February 16, 2007
Source of IUU information: http://www.greenpeace.org/australia/news-and-events/news/overfishing/pirates-in-suva",,Win Tend No.136,,,,http://blacklist.greenpeace.org/1/vessel/show/52-win-tend-no136,,No Data,,,GreenpeaceBlacklist,Taiwan,BJ4655,"The Win Tend 136 was found to have fished wihtout a permit inside the Fiji EEZ. The vessel was docked next to Wen Teng after arriving together to  Fiji on October 26, 2006. While Weng Teng  no 688 / Mahkoa Abadi 196 was investigated for changing indetification  Win Tend No. 136 sailed. It belongs to the same company as Mahkota Abadi 196 / Wen Teng No.688, but is not registered with the Fisheries Forum Agency. While Mahkoa Abadi was investigated for changing indetification  Win Tend No. 136 sailed. Upon return to Suva it was discovered through VMS that the vessel had fished without a permit inside Fiji EEZ",,29.6,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Illegal fishing in Tonga EEZ
Source of IUU information: http://www.ffa.int/system/files/MCS.newsletter.v6.i4.pdf",,Yang Szu No.666,,,,http://blacklist.greenpeace.org/1/vessel/show/31-yang-szu-no666,,,,,GreenpeaceBlacklist,Taiwan,BJ4674,"On 15 March 2004 the Tongan Defence Services, while on a routine patrol of Tonga’s Fishing Waters, spotted and successfully  arrested the Yang Szu 666 for the illegal fishing of approximately 5.8 tonnes of shark without a licence, 25 nm from the tourist island group of Vava’u.The case was settled out of court for US$ 100,000The Yang Szu 666 was arrested a year earlier in Vanuatu on Nov 1, 2003No further court procedures were taken against the vessel",,,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Unreported catch
Source of IUU information: http://oceans.greenpeace.org/en/documents-reports/mumrinskiy-jan-2007",,Yaroslavets,,Sever Fishing Collective,273555000.0,http://blacklist.greenpeace.org/1/vessel/show/21-yaroslavets,,8862002.0,USSR,,GreenpeaceBlacklist,Russian Federation,UCSJ,"On behalf of the trawler Yaroslavets , the Mumrinskiy offloaded 176 tonnes of headed and gutted cod",1991-01-01,53.7,Russian Federation,Trawler
CT7-0252,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Ying Jen 636,,,,http://blacklist.greenpeace.org/1/vessel/show/48-ying-jen-636,,No Data,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,54.0,Taiwan,Longline
CT4-2712,,"Greenpeace
Reason for blacklisting: Fishing on the High Seas within the WCPFC Convention Area on 21 August 2008 without being on the WCPFC Record of Fishing Vessels
Source of IUU information: http://www.wcpfc.int/system/files/documents/meetings/technical-and-compliance-committee/5th-regular-session/summary-report/TCC5%20Summary%20Report%20and%20Attachments%20%28Edited%20Version%29.pdf",,Yuh Chang No.3,,"Chen, Jin Tyan",441610190,http://blacklist.greenpeace.org/1/vessel/show/190-yuh-chang-no3,,,,,GreenpeaceBlacklist,Taiwan,BJ4712,"The Yuh Chang No. 3, a Taiwan-flagged fishing vessel, was sighted by New Zealand harvesting species covered by the WCPFC Convention within the Convention Area on 21 August 2008. This vessel was not listed on the WCPFC Record of Fishing Vessels at the time of the incident.",2010-08-16,27.3,Taiwan,Longline
CT7-0295,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Yuh Yeou 236,,,,http://blacklist.greenpeace.org/1/vessel/show/45-yuh-yeou-236,,No Data,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,50.6,Taiwan,Longline
CT6-1027,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Yuh Yeou 6,,,,http://blacklist.greenpeace.org/1/vessel/show/44-yuh-yeou-6,,No Data,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,42.0,Taiwan,Longline
ON2-0560,,"Greenpeace
Reason for blacklisting: No VMS reporting

“Unreported fishing refers to fishing activities:",,Yusei Maru 8,,,,http://blacklist.greenpeace.org/1/vessel/show/4-yusei-maru-8,,No Data,,,GreenpeaceBlacklist,Japan,No Data,"12th September 2006 –Japanese Longliner in FSM’s EEZThe Yusei Maru 8’s VMS system was switched on, it had been in Federal States of Micronesia waters for 3 weeks but had not reported at all in this time. Basic documents such as licenses, catch diaries, bunkering and supplies records were inspected and verified with land based FSM marine enforcement. The ship was ordered to stop fishing immediately, to manually report every 8 hours, and to go to directly to the nearest port of Guam to get its VMS fixed.",,15.0,Japan,Longline/Freezer
